Id,Municipi,Latitud,Longitud,Activitat,Categoria
0,Abrera,41.52298765260223,1.921253274332925,Futbol sala,equip
1,Abrera,41.52298765260223,1.921253274332925,Futbol,equip
7,Abrera,41.50164118215631,1.929036135581829,Basquet,equip
10,Abrera,41.511924610416045,1.931634792970872,Futbol sala,equip
13,Abrera,41.51492571999879,1.900283552593342,Condicionament fisic (activitats dirigides),fitness
14,Abrera,41.51492571999879,1.900283552593342,Futbol sala,equip
15,Abrera,41.51492571999879,1.900283552593342,Condicionament fisic (activitats dirigides),fitness
20,Abrera,41.52018836959228,1.902423634116115,Futbol sala,equip
21,Abrera,41.52018836959228,1.902423634116115,Condicionament fisic (activitats dirigides),fitness
25,Abrera,41.52052689121882,1.901087589268839,Futbol sala,equip
26,Abrera,41.52052689121882,1.901087589268839,Condicionament fisic (activitats dirigides),fitness
29,Abrera,41.5201564853833,1.90380242907393,Condicionament fisic (activitats dirigides),fitness
30,Abrera,41.5201564853833,1.90380242907393,Taekwondo,lluita
36,Abrera,41.520351659002245,1.904434333346765,"Cardiovasculars (activitats en cinta, eliptica, rem,...)",fitness
37,Abrera,41.520351659002245,1.904434333346765,Aerobic,fitness
38,Abrera,41.520351659002245,1.904434333346765,Natacio ensenyament,aquatiques
39,Abrera,41.520351659002245,1.904434333346765,Natacio ensenyament,aquatiques
51,Abrera,41.51972719356418,1.90601486965257,Futbol,equip
55,Abrera,41.51942470915554,1.902628293692405,Natacio recreativa,aquatiques
56,Abrera,41.51942470915554,1.902628293692405,Natacio recreativa,aquatiques
57,Abrera,41.51942470915554,1.902628293692405,Natacio recreativa,aquatiques
66,Abrera,41.51517746611442,1.901178084677004,Basquet,equip
71,Abrera,41.52056083115848,1.903699725525821,Condicionament fisic (activitats dirigides),fitness
72,Abrera,41.50502197306021,1.923576516065056,Basquet,equip
76,Abrera,41.52112487451833,1.909023537315534,Futbol sala,equip
77,Abrera,41.52182933066295,1.901652824448491,Basquet lliure 3x3,equip
78,Abrera,41.52182933066295,1.901652824448491,Basquet lliure 3x3,equip
84,Abrera,41.5219352002516,1.895778304493447,Natacio recreativa,aquatiques
85,Abrera,41.5219352002516,1.895778304493447,Natacio recreativa,aquatiques
86,Abrera,41.52291173223748,1.896169202934569,Natacio recreativa,aquatiques
87,Abrera,41.52291173223748,1.896169202934569,Natacio recreativa,aquatiques
88,Abrera,41.51772978763231,1.899636862126895,Natacio recreativa,aquatiques
89,Abrera,41.51422240718675,1.897383409603896,Musculacio i tonificacio,fitness
99,Abrera,41.51716063966872,1.900401512999769,Musculacio i tonificacio,fitness
100,Abrera,41.52350070936824,1.904069590705661,Futbol sala,equip
101,Abrera,41.52350070936824,1.904069590705661,Condicionament fisic (activitats dirigides),fitness
105,Abrera,41.51918593341494,1.889017761356726,Gimnastica artistica,fitness
120,Aguilar de Segarra,41.74182155551673,1.632608032753145,Futbol sala,equip
121,Aguilar de Segarra,41.74166104846443,1.632743722459347,Natacio recreativa,aquatiques
122,Aguilar de Segarra,41.74166104846443,1.632743722459347,Natacio recreativa,aquatiques
126,Aguilar de Segarra,41.74260724409232,1.633541413746348,Correr (footing),fitness
127,Aguilar de Segarra,41.74260724409232,1.633541413746348,Correr (footing),fitness
128,Aguilar de Segarra,41.74260724409232,1.633541413746348,Correr (footing),fitness
129,Aguilar de Segarra,41.73941834206409,1.631985601787242,Condicionament fisic (activitats dirigides),fitness
132,Aguilar de Segarra,41.74089143411469,1.624859189939285,Natacio recreativa,aquatiques
133,Alella,41.49892895532317,2.292333098192439,Natacio recreativa,aquatiques
135,Alella,41.49892895532317,2.292333098192439,Natacio recreativa,aquatiques
136,Alella,41.49892895532317,2.292333098192439,Futbol sala,equip
138,Alella,41.49665715221877,2.284738129141104,Natacio recreativa,aquatiques
139,Alella,41.49665715221877,2.284738129141104,Futbol sala,equip
140,Alella,41.49289033176295,2.297610112298493,Natacio recreativa,aquatiques
142,Alella,41.484904050007295,2.293731487292207,Musculacio i tonificacio,fitness
146,Alella,41.48341833596255,2.29675415446484,Natacio recreativa,aquatiques
147,Alella,41.48341833596255,2.29675415446484,Natacio recreativa,aquatiques
150,Alella,41.48352466331736,2.303868081324553,Natacio recreativa,aquatiques
153,Alella,41.50446719929931,2.300959822150228,Natacio recreativa,aquatiques
155,Alella,41.50059815268819,2.295729621383567,Esquaix,fitness
156,Alella,41.50059815268819,2.295729621383567,Esquaix,fitness
164,Alella,41.50575031513801,2.298669376434815,Condicionament fisic (activitats dirigides),fitness
166,Alella,41.50575031513801,2.298669376434815,Futbol sala,equip
167,Alella,41.50575031513801,2.298669376434815,Basquet,equip
168,Alella,41.50575031513801,2.298669376434815,Futbol sala,equip
175,Alella,41.50445599538753,2.293231488403169,Futbol,equip
180,Alella,41.49922182727053,2.291623023017946,Natacio recreativa,aquatiques
182,Alella,41.49922182727053,2.291623023017946,Natacio recreativa,aquatiques
183,Alella,41.4892438854472,2.294918221274808,Natacio recreativa,aquatiques
184,Alella,41.4892438854472,2.294918221274808,Futbol sala,equip
185,Alella,41.490655600383626,2.294519567935632,Basquet,equip
186,Alella,41.490655600383626,2.294519567935632,Judo,lluita
187,Alella,41.490655600383626,2.294519567935632,Condicionament fisic (activitats dirigides),fitness
188,Alella,41.490655600383626,2.294519567935632,Basquet,equip
193,Alella,41.49438755735872,2.299414934484896,Condicionament fisic (activitats dirigides),fitness
194,Alella,41.49438755735872,2.299414934484896,Basquet,equip
200,Alella,41.494396659262215,2.297953246415853,Futbol sala,equip
